"","venueId","venueName","meanRS","venueLat","venueLng"
"210",7448917,"Brick Dallas",4,32.811,-96.8191
"211",108675,"Houlihan's",3.5,32.9546,-96.8172
"212",7344999,"Sisk Drafthouse",3.75,32.8488,-96.759
"213",449391,"Boulevardier",0,32.7483,-96.828
"214",702922,"White Rock Station (DART Rail)",3,32.8559,-96.7329
"215",38459,"R & D Kitchen",4.125,32.8634,-96.8028
"216",3835520,"Biergarten on Lamar",3.67857142857143,32.7757,-96.8037
"217",4452398,"Lonestar Ballroom",2.8125,32.7847,-96.7952
"218",580965,"Lake House Bar & Grill",3.65789473684211,32.8548,-96.732
"219",7010526,"White Rock Alehouse & Brewery",3.07894736842105,32.8136,-96.7305
"220",332800,"Little Katana",3.41666666666667,32.8232,-96.7908
"221",397487,"Poor David's Pub",4.25,32.7682,-96.7966
"222",1932839,"Hall Of State Theater",3.5,32.7799,-96.7621
"223",4551727,"Fair Park Automobile Building",3,32.7808,-96.7635
"224",4548116,"Auto Bar & Grill",4.125,32.7807,-96.7635
"225",1069276,"The Rustic",3.05,32.805,-96.7942
"226",7518909,"Big Texas Beer Fest 2018",3.22282608695652,32.7806,-96.7631
"227",3852260,"Texas Museum Of Automotive History",3,32.7794,-96.7623
"228",7323215,"Eduardo Mata Elementary School",4.25,32.8069,-96.732
"229",4832910,"Streets Fine Chicken",4.25,32.8102,-96.8104
"230",210742,"Hilton Dallas/Park Cities",3.25,32.8638,-96.8097
"231",1998787,"Harry S. Moss Park",3,32.893,-96.7531
"232",5091969,"Pinch The Tails",0,32.9987,-96.7988
"233",520,"The Ginger Man",2.55,32.7983,-96.803
"234",4712118,"Eastbound And Down",4.10714285714286,32.7985,-96.7851
"235",409996,"Celebration Restaurant",3.25,32.8514,-96.8333
"236",175795,"RHBQ BBQ and Beer Garden",3.6,32.8813,-96.7693
"237",696147,"Gables Katy Trail",4.5,32.8022,-96.8047
"238",780897,"Downtown Dallas",3,32.7786,-96.7962
"239",26466,"Draft Media Sports Lounge",3.02272727272727,32.785,-96.7952
"240",7563673,"Tweet Spot",4.5,32.7851,-96.7951
"241",8105,"Barcadia",4,32.8117,-96.7751
"242",5625746,"Pirate's Sanctum",3.75,32.8029,-96.7629
"243",7482714,"Vetted Well",3.0625,32.8677,-96.7414
"244",179149,"The Foundry",3.39285714285714,32.7724,-96.8315
"245",6643636,"Ross & Hall",3.22916666666667,32.7954,-96.789
"246",2604850,"Cafe Momentum",4.5,32.7821,-96.7996
"247",2351335,"Omar's Bear Cave",3.75,32.819,-96.8405
"248",6902347,"Bottled Blonde",4.25,32.7858,-96.789
"249",3614958,"Uptown Food Truck Park",3.875,32.8142,-96.7712
"250",132516,"Fox & Hound - Dallas",2.25,33.0095,-96.843
"251",93528,"The Pour House",3.5,32.8133,-96.7618
"252",7321874,"Alamo Drafthouse Lake Highlands",3.66666666666667,32.8673,-96.7418
"253",7357359,"Coffee's Post",3.5,32.7758,-96.8091
"254",1466750,"The Wild Detectives",3.75,32.7479,-96.8272
"255",6976944,"Backyard",3,32.7856,-96.7893
"256",3289170,"Armoury D.E.",3.4375,32.7844,-96.7841
"257",580848,"Atomic Pie",3.5,32.878,-96.7168
"258",5616374,"Maple Avenue Boxing",3.5,32.82,-96.8333
"259",6598583,"Sheraton Lobby",3,32.7851,-96.7949
"260",7615366,"Dallas Ballroom C And D",3.75,32.7845,-96.7954
"261",4367086,"Tutta's",3.6,32.7813,-96.8074
"262",7152928,"Bullion",5,32.7764,-96.8058
"263",33626,"The Stoneleigh P",3.875,32.7979,-96.8071
"264",3586979,"Clutch",3.75,32.7988,-96.8053
"265",339154,"Go 4 It Sports Grill",4,32.8653,-96.7009
"266",1319453,"The Woolworth",2.775,32.7815,-96.7984
"267",38442,"Cane Rosso",3.67857142857143,32.7826,-96.7856
"268",5734518,"Big Guys Chicken & Rice",3.75,32.784,-96.7859
"269",469906,"Bob's Steak and Chop House",3.75,32.775,-96.8037
"270",4639933,"Comfort Suites",3.25,32.7679,-96.8948
"271",176639,"The Westin Park Central, Dallas",3.75,32.9224,-96.7715
"272",1105973,"Nickel & Rye",4.5,32.7961,-96.8019
"273",573107,"Mudsmith",4,32.8153,-96.77
"274",4135190,"Miramonte Villas",3.75,32.8217,-96.8249
"275",7594673,"team building with taste",3.375,32.9986,-96.8001
"276",6059101,"Bishop Manor",4.125,32.7796,-96.7746
"277",7606656,"Smithy",2.7,32.8207,-96.7853
"278",1221113,"The Local Oak",2,32.7486,-96.8249
"279",2238220,"Bryan Street Tavern",3.5,32.7996,-96.7796
"280",251513,"Whitehall Exchange",4.08333333333333,32.749,-96.8282
"281",7340980,"Fish City Grill",2.41666666666667,32.876,-96.7347
"282",3314167,"Magnolia Park Cities",4,32.8406,-96.7752
"283",2234601,"Convention Center Station (DART Rail)",3.25,32.773,-96.8023
"284",2635154,"The Nines",4.33333333333333,32.7844,-96.7817
"285",8817,"City Tavern",3.58333333333333,32.7805,-96.8003
"286",7389721,"Scout",3.3,32.7802,-96.7952
"287",491318,"Winnetka Heights Historic District",3.625,32.7485,-96.8415
"288",6805924,"Deep Ellum Art Co",3,32.7842,-96.7774
"289",455340,"BBC (British Beverage Company)",3.15,32.7984,-96.8038
"290",231802,"White Rock Cemetery",5,32.9448,-96.8092
"291",760859,"Prestonwood Neighborhood",4.125,32.958,-96.8163
"292",7719116,"Community Fountain",2,32.9851,-96.7095
"293",6909133,"The Statler",3.88888888888889,32.7802,-96.795
"294",2215281,"shoffs joint",3.75,32.8492,-96.696
"295",3235710,"Ida Claire",3.34375,32.9545,-96.8259
"296",1663793,"Junius Heights",3.75,32.8064,-96.7596
